GL1,GL2,GL3,GL4,GL5,GL6
1,1,1,1,1,1
1,1,1,1,1,1
2,1,2,2,1,1
1,1,1,2,1,1
1,1,1,1,1,1
,,,,,
2,1,1,2,2,1
1,1,1,1,1,1
,,,,,
2,2,1,2,2,2
1,1,1,1,1,1
2,1,2,2,1,2
1,2,1,2,1,1
2,2,2,2,1,1
2,1,1,1,1,1
1,1,1,1,1,1
2,2,1,1,1,1
2,1,1,2,1,1
,,,,,
,,,,,
1,1,1,1,1,1
2,2,2,2,1,1
2,1,1,2,1,1
1,1,1,1,1,1
,,,,,
1,1,1,1,1,1
1,1,1,1,1,1
2,2,1,1,1,1
2,2,2,2,1,1
1,1,1,1,1,1
2,2,2,2,2,2
2,1,1,1,1,1
2,1,1,2,1,2
1,1,1,1,1,1
2,1,1,2,1,1
1,2,2,1,1,1
1,2,2,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
,,,,,
1,2,1,1,1,2
,,,,,
1,1,1,1,1,1
2,1,1,1,1,1
1,1,1,1,1,1
,,,,,
,,,,,
,,,,,
2,2,1,1,2,1
1,1,2,2,1,1
2,1,1,1,1,1
,,,,,
,,,,,
2,2,2,2,2,2
,,,,,
1,1,1,1,1,1
2,2,2,2,2,2
2,2,1,2,1,2
,,,,,
2,2,2,2,1,1
1,1,1,2,1,1
2,2,1,2,1,2
1,2,2,1,1,1
1,1,1,1,1,1
2,1,1,1,1,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
2,1,1,1,1,1
1,2,1,1,1,1
,,,,,
1,1,1,1,1,1
1,2,2,2,1,1
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
2,1,1,1,1,2
2,1,1,2,1,1
2,2,2,2,1,1
2,2,1,1,1,1
1,1,1,2,1,1
1,1,1,1,1,1
1,2,2,2,2,1
1,1,1,1,1,1
2,2,2,2,1,2
,,,,,
2,2,1,1,1,1
,,,,,
,,,,,
,,,,,
2,2,1,2,1,2
1,1,1,1,1,1
1,1,1,1,1,1
,,,,,
,,,,,
1,1,1,1,1,1
2,1,1,1,1,1
1,1,1,2,1,1
2,2,2,2,1,2
2,2,2,2,1,1
2,1,1,1,1,1
,,,,,
2,1,1,1,1,1
2,2,1,1,1,1
,,,,,
,,,,,
2,1,1,1,1,1
2,2,2,2,2,2
,,,,,
2,2,2,2,2,2
2,1,1,1,1,1
,,,,,
2,1,1,1,1,1
2,2,2,2,2,2
2,1,1,2,2,2
,,,,,
2,2,2,2,2,2
2,2,1,1,2,1
2,2,1,2,2,1
2,2,1,2,1,1
1,1,1,1,1,1
,,,,,
,,,,,
3,3,1,1,3,1
2,1,1,2,1,1
,,,,,
2,2,2,2,1,1
,,,,,
,,,,,
,,,,,
1,2,1,2,2,1
1,1,1,1,1,1
,,,,,
,,,,,
1,1,1,1,1,1
1,1,2,1,1,1
,,,,,
,,,,,
,,,,,
2,2,2,2,1,2
1,1,2,2,1,1
,,,,,
,,,,,
1,1,1,2,1,1
2,2,2,2,2,2
1,1,1,1,1,1
2,1,2,2,1,2
,,,,,
2,2,2,2,2,2
,,,,,
,,,,,
2,2,2,2,2,2
1,1,1,1,1,1
,,,,,
,,,,,
1,1,2,2,2,2
,,,,,
,,,,,
,,,,,
1,1,2,1,1,1
1,1,2,2,1,1
2,1,1,1,1,1
,,,,,
2,2,1,1,1,1
,,,,,
1,1,1,1,1,1
2,1,1,1,1,1
2,1,2,2,1,2
,,,,,
,,,,,
1,1,1,1,1,1
1,1,1,1,1,1
,,,,,
2,1,2,1,2,2
,,,,,
,,,,,
2,2,2,2,1,2
2,1,1,1,1,1
2,2,1,1,1,1
1,1,1,1,1,1
1,2,1,2,2,1
2,2,1,1,1,1
1,1,1,2,1,1
,,,,,
2,2,2,2,2,1
,,,,,
2,2,2,2,2,1
2,2,1,2,1,1
2,1,2,1,1,1
2,2,2,2,2,2
,,,,,
2,1,1,2,2,1
2,2,1,1,2,1
,,,,,
,,,,,
1,1,1,1,1,1
,,,,,
,,,,,
2,2,2,2,2,2
1,1,1,1,1,1
,,,,,
2,1,2,2,1,1
1,1,1,1,1,1
2,2,2,2,2,2
,,,,,
,,,,,
2,2,2,2,1,2
1,1,1,1,1,1
,,,,,
1,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,1,1
2,2,2,2,2,2
2,2,2,2,1,1
,,,,,
,,,,,
,,,,,
2,2,2,2,1,1
,,,,,
2,2,2,2,2,2
,,,,,
1,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
,,,,,
1,1,1,1,1,1
,,,,,
1,1,1,1,1,1
,,,,,
2,2,2,2,2,2
1,1,1,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
1,1,1,1,1,1
2,2,1,2,2,1
2,1,2,1,2,1
1,2,2,2,1,1
,,,,,
1,1,1,1,1,1
,,,,,
2,2,2,2,2,2
2,1,1,1,2,1
,,,,,
,,,,,
2,2,2,2,2,2
,,,,,
1,1,1,1,1,1
2,2,2,2,2,2
2,1,1,1,1,1
2,1,1,1,1,1
2,2,2,2,2,2
2,1,2,1,1,1
2,2,1,1,1,2
2,2,2,2,1,2
,,,,,
,,,,,
1,2,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
1,1,1,1,1,1
,,,,,
2,1,2,2,1,1
,,,,,
,,,,,
2,1,2,1,1,2
1,1,1,1,1,1
1,1,1,1,1,1
2,1,2,1,1,1
,,,,,
,,,,,
2,1,1,1,1,1
2,2,1,1,2,2
2,2,2,2,1,1
1,1,2,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2,2,2,2,1,2
2,2,2,2,1,1
2,1,1,2,1,1
2,2,1,1,1,2
,,,,,
,,,,,
2,1,1,1,1,1
2,2,1,2,1,1
,,,,,
2,1,1,1,1,2
,,,,,
2,2,2,2,2,2
1,1,2,2,1,1
,,,,,
,,,,,
,,,,,
2,2,1,2,2,1
,,,,,
,,,,,
,,,,,
1,2,2,2,1,1
2,2,2,1,2,2
2,2,2,2,1,2
2,1,2,2,1,1
,,,,,
,,,,,
1,2,1,1,1,1
2,1,1,1,1,1
2,2,2,2,2,2
,,,,,
,,,,,
1,1,1,2,1,1
2,2,2,2,1,1
2,2,1,2,1,1
,,,,,
2,1,1,1,1,1
2,1,1,2,1,1
2,2,1,1,1,1
2,2,1,2,1,1
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,2,1
1,1,1,1,1,1
2,2,2,2,1,1
1,1,1,1,1,1
2,1,1,1,1,1
1,1,1,1,1,1
1,2,1,2,1,1
1,2,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
2,1,1,1,1,1
1,1,1,1,1,1
,,,,,
2,2,1,1,1,1
,,,,,
2,2,2,2,1,2
1,1,1,2,1,1
2,2,1,2,1,1
1,1,1,2,1,1
2,1,1,1,1,1
2,2,1,2,2,1
2,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
,,,,,
2,1,1,2,1,1
,,,,,
1,1,1,1,1,1
2,2,1,2,1,1
,,,,,
,,,,,
,,,,,
1,2,2,2,1,1
1,1,1,1,1,1
2,2,2,2,1,1
2,1,1,1,1,1
,,,,,
,,,,,
,,,,,
2,2,2,2,2,2
,,,,,
,,,,,
1,2,1,1,2,2
,,,,,
2,1,2,2,1,1
,,,,,
2,2,2,2,1,2
,,,,,
,,,,,
,,,,,
2,2,2,2,2,2
1,1,1,1,1,1
2,1,2,2,1,1
2,2,2,2,1,1
2,1,2,2,2,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1,2,2,2,1,1
,,,,,
2,1,2,1,2,2
,,,,,
1,1,1,1,1,1
,,,,,
2,2,2,2,2,2
1,1,1,1,1,1
,,,,,
1,1,1,1,1,1
,,,,,
1,2,1,2,1,1
2,2,2,2,1,1
2,2,1,1,2,1
,,,,,
,,,,,
,,,,,
2,2,2,2,1,2
2,2,1,2,1,1
2,2,2,2,2,2
2,2,2,2,1,1
1,1,2,2,1,1
1,2,1,2,2,1
2,2,2,2,1,1
2,2,2,2,2,2
1,1,1,1,1,1
2,1,1,2,2,1
,,,,,
2,2,1,2,1,1
1,1,1,2,1,1
1,2,1,2,2,1
1,1,1,1,1,1
2,1,1,2,1,2
,,,,,
1,1,1,1,1,1
2,2,2,1,2,2
,,,,,
,,,,,
2,1,1,2,1,1
2,1,1,2,1,1
,,,,,
,,,,,
2,2,2,1,1,1
1,1,1,1,1,1
,,,,,
,,,,,
1,1,1,1,1,1
2,1,1,1,1,1
,,,,,
1,2,2,2,2,2
